Ημερομηνία,Θέση στη Γραμμή,undefined,undefined
"Apr 15, 2017, 3:00:00 AM",49,point { size: 7; fill-color: #006ACB; },"Ημ/νία: 2017-04-15
Σημείο: 49 (Water)
AreaBGR: 58522.964"
"Apr 30, 2017, 3:00:00 AM",0,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-04-30
Σημείο: 0 (Land)"
"Apr 30, 2017, 3:00:00 AM",1,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-04-30
Σημείο: 1 (Land)"
"Apr 30, 2017, 3:00:00 AM",2,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-04-30
Σημείο: 2 (Land)"
"Apr 30, 2017, 3:00:00 AM",3,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-04-30
Σημείο: 3 (Land)"
"Apr 30, 2017, 3:00:00 AM",4,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-04-30
Σημείο: 4 (Land)"
"Apr 30, 2017, 3:00:00 AM",5,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-04-30
Σημείο: 5 (Land)"
"Apr 30, 2017, 3:00:00 AM",6,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-04-30
Σημείο: 6 (Land)"
"Apr 30, 2017, 3:00:00 AM",7,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-04-30
Σημείο: 7 (Land)"
"Apr 30, 2017, 3:00:00 AM",8,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-04-30
Σημείο: 8 (Land)"
"Apr 30, 2017, 3:00:00 AM",9,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-04-30
Σημείο: 9 (Land)"
"Apr 30, 2017, 3:00:00 AM",10,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-04-30
Σημείο: 10 (Land)"
"Apr 30, 2017, 3:00:00 AM",11,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-04-30
Σημείο: 11 (Land)"
"Apr 30, 2017, 3:00:00 AM",12,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-04-30
Σημείο: 12 (Land)"
"Apr 30, 2017, 3:00:00 AM",13,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-04-30
Σημείο: 13 (Land)"
"Apr 30, 2017, 3:00:00 AM",14,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-04-30
Σημείο: 14 (Land)"
"Apr 30, 2017, 3:00:00 AM",15,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-04-30
Σημείο: 15 (Land)"
